Temperatura inicial: 14.10 *C
Umidade inicial: 98.00 %
Tempo (s), Temperatura (*C), Umidade (%), LED Temp, LED Hum, Mensagem
1 s, 14.10 *C, 98.00 %, OFF, OFF
1046 s, 29.30 *C, 57.00 %, ON, OFF
1047 s, 29.30 *C, 54.00 %, ON, OFF
1048 s, 29.30 *C, 54.00 %, ON, OFF
1049 s, 29.80 *C, 51.00 %, ON, OFF
1050 s, 29.80 *C, 51.00 %, ON, OFF
1051 s, 29.80 *C, 49.00 %, ON, OFF
1052 s, 29.80 *C, 49.00 %, ON, OFF
1053 s, 29.80 *C, 48.00 %, ON, OFF
1054 s, 29.80 *C, 48.00 %, ON, OFF
1055 s, 29.80 *C, 47.00 %, ON, OFF
1056 s, 29.80 *C, 47.00 %, ON, OFF
1057 s, 29.80 *C, 46.00 %, ON, OFF
1058 s, 29.80 *C, 46.00 %, ON, OFF
1059 s, 29.80 *C, 45.00 %, ON, OFF
1060 s, 29.80 *C, 45.00 %, ON, OFF
1061 s, 29.80 *C, 44.00 %, ON, OFF
1062 s, 29.80 *C, 44.00 %, ON, OFF
1063 s, 29.80 *C, 43.00 %, ON, OFF
1064 s, 29.80 *C, 43.00 %, ON, OFF
1065 s, 29.80 *C, 43.00 %, ON, OFF
1066 s, 29.80 *C, 43.00 %, ON, OFF
1067 s, 29.80 *C, 43.00 %, ON, OFF
1068 s, 29.80 *C, 43.00 %, ON, OFF
1068 s, 29.80 *C, 43.00 %, ON, OFF
1069 s, 29.80 *C, 43.00 %, ON, OFF
1070 s, 29.80 *C, 43.00 %, ON, OFF
